reviewId,content,events
1,"Keeps logging me out of account saying session expired and everytime I try to log in it won't let me, keeps updating constantly even when I keep it up to date so not sure if the app is glitching, overall not a good app so may have to consider deleting Facebook as this has put me off and happens way too much, keep trying to update the app thinking it was that but its still not working and it says update again even after i already did","['saying session expired and', 'I try to log in it', ""Keeps logging me out of account saying session expired and everytime I try to log in it wo n't let me keeps updating constantly even when I keep it up to date so not sure if the app is glitching overall not a good app so may have to consider deleting Facebook as this has put me off and happens way too much keep trying to update the app thinking it was that but its still not working and it says update again even after i already did"", 'keeps updating constantly even when I keep it up to date so not sure if the app is glitching overall not a good app', 'even when I keep it up to date so not sure if the app is glitching overall not a good app', 'so may have to consider deleting Facebook as this has put me off and happens way too much', 'as this has put me off and happens way too much', 'happens way too much', 'keep trying to update the app thinking it was that', 'its still not working', 'it says update again even after i already did', 'even after i already did']"
2,Facebook marketplace has a bug or a terrible feature where it will select a random picture as the main one (so the only one buyers see when searching and scrolling) keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now.,"['Facebook marketplace has a bug or a terrible feature where it will select a random picture as the main one so the only one buyers see when searching and scrolling keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object no wonder no one but scam bots message me now', 'when searching and scrolling', 'keeps selecting a zoomed up tiny area of damage as the main photo instead of the actual overall photo of an object']"
3,I don't know what has happened lately it will not let me log into my Facebook I keep logging in right password and all cuz it starts to log in but then it decides login has expired and kicks me right back out logs me out then it turns around and I log back in and it does the same thing over and over first I thought it might have needed updated so I got it updated and it's still continuing to do it I do not know what is going on with it but it needs fixed,"['all cuz it starts to log in', 'then it decides login has expired and kicks me right back out logs me out then it turns around', 'kicks me right back out', 'logs me out', 'I log back in', 'it does the same thing over and over first', ""I do n't know what has happened lately it will not let me log into my Facebook I keep logging in right password and all cuz it starts to log in but then it decides login has expired and kicks me right back out logs me out then it turns around and I log back in and it does the same thing over and over first I thought it might have needed updated so I got it updated and it 's still continuing to do it"", 'updated', ""it 's still continuing to do it"", 'I do not know what is going on with it', 'but it needs fixed']"
4,Can't login at all can't recover my account at all I've tried uninstalling 3 times and tried to get the password reset but never worked just said error oh yeah and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT,"[""Ca n't login at all ca n't recover my account at all I 've tried uninstalling 3 times and tried to get the password reset but never worked just said error"", 'tried to get the password reset', 'never worked', 'and made my screen go black one time trying to login and white another time and just froze for a second then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT', 'just froze for a second', 'then kicked me out of the app this app sucks in conclusion and GET actual customer SUPPORT', 'GET actual customer SUPPORT']"
5,"When I try to share things that I like on my wall, Facebook's algorithm throws it in the irrelevant pile so no-one can see it and then there's the fact I can get my account restricted or giving my opinion on a clip of a MOVIE as to what one CHARACTER in that movie should do to another because it's labeled as ""violent""!!!","['When I try to share things that I like on my wall', ""When I try to share things that I like on my wall Facebook 's algorithm throws it in the irrelevant pile so no one can see it and then there 's the fact I can get my account restricted or giving my opinion on a clip of a MOVIE as to what one CHARACTER in that movie should do to another because it 's labeled as violent"", 'so no one can see it', ""then there 's the fact I can get my account restricted or giving my opinion on a clip of a MOVIE as to what one CHARACTER in that movie should do to another because it 's labeled as violent"", ""giving my opinion on a clip of a MOVIE as to what one CHARACTER in that movie should do to another because it 's labeled as violent"", ""because it 's labeled as violent""]"
6,"This app is garbage, it logs y9u.out randomly and you have to spend a ton of time trying to log back in with two factor authentication and it 90% of the time does not work they need to fix that and that would make the app a little better","['This app is garbage it logs y9u.out randomly', 'and you have to spend a ton of time trying to log back in with two factor authentication and it 90 of the time does not work they need to fix that and that would make the app a little better', 'trying to log back in with two factor authentication and it', '90 of the time does not work they need to fix that and that would make the app a little better', 'that would make the app a little better']"
7,Suddenly after using FB an hr and a half ago it wouldnt allow me to log in so then it lets me log in and then it says there was an error so it shows me my page but it won't show anything else and then it gets rid of it cuz it goes right back out of it I cannot send any messages either on messenger but it shows me all my messages shows me people been on how long they haven't been on I even updated it now I deleted and I'm reinstalling this is ridiculous that it just worked and suddenly isn't smfh,"['Suddenly after using FB an hr and a half ago it would nt allow me to log in so then it lets me log in and then it says there was an error so it shows me my page', 'so then it lets me log in', 'then it says there was an error so it shows me my page', 'so it shows me my page', ""but it wo n't show anything else"", 'cuz it goes right back out of it', 'it shows me all my messages shows me people been on', ""and then it gets rid of it cuz it goes right back out of it I can not send any messages either on messenger but it shows me all my messages shows me people been on how long they have n't been on I even updated it now I deleted and I 'm reinstalling this is ridiculous that it just worked and suddenly is n't smfh"", 'I deleted', ""I 'm reinstalling this is ridiculous that it just worked and suddenly is n't smfh""]"
8,"If I could give no stars to leave a rating I would, my facebook completely crashed and I have absolutely no access to it, I cannot log in at all, and when I try to log in it constantly says that session expired.","['If I could give no stars to leave a rating I would', 'I have absolutely no access to it', 'If I could give no stars to leave a rating I would my facebook completely crashed and I have absolutely no access to it I can not log in at all and when I try to log in it constantly says that session expired', 'when I try to log in it', 'when I try to log in it constantly says that session expired']"
9,They need to fix this app I have used it for so long and never had problems with it until the meta system which now it made me delete my account that I've had for 5 years won't let me log in or make a new account because apparently my session was over and apparently there's a error that won't let me log in or make a new account,"[""They need to fix this app I have used it for so long and never had problems with it until the meta system which now it made me delete my account that I 've had for 5 years wo n't let me log in or make a new account because apparently my session was over and apparently there 's a error that wo n't let me log in or make a new account"", ""I have used it for so long and never had problems with it until the meta system which now it made me delete my account that I 've had for 5 years wo n't let me log in or make a new account because apparently my session was over and apparently there 's a error that wo n't let me log in or make a new account"", ""never had problems with it until the meta system which now it made me delete my account that I 've had for 5 years wo n't let me log in or make a new account because apparently my session was over and apparently there 's a error that wo n't let me log in or make a new account"", ""until the meta system which now it made me delete my account that I 've had for 5 years wo n't let me log in or make a new account because apparently my session was over and apparently there 's a error that wo n't let me log in or make a new account"", ""make a new account because apparently my session was over and apparently there 's a error that wo n't let me log in or make a new account"", ""apparently there 's a error that wo n't let me log in or make a new account"", 'make a new account']"
10,"My account got hacked from somewhere in Nigeria, they then linked my account to a two-factor authentication on their device, I've tried contact customer support but nothing, and since they persist with a lack of customer support and allowing with sending their users in circles over and over in a never ending loop of inability to get some assistance of any type, I'm going to sadly leave this app and all the hundreds of photos and videos I've posted/shared, it's a shame but good riddance!","['since they persist with a lack of customer support and allowing with sending their users in circles over and over in a never ending loop of inability to get some assistance of any type', 'allowing with sending their users in circles over and over in a never ending loop of inability to get some assistance of any type', 'to get some assistance of any type', ""since they persist with a lack of customer support and allowing with sending their users in circles over and over in a never ending loop of inability to get some assistance of any type I 'm going to sadly leave this app and all the hundreds of photos and videos I 've posted shared""]"
